"geo_value","time_value","cli","inperson_school_fulltime","inperson_school_parttime","tested_14d","tested_positive_14d","covid_vaccinated_or_accept","covid_vaccinated","others_masked","public_transit_1d","work_outside_home_1d","shop_1d","restaurant_1d","spent_time_1d","large_event_1d","worried_become_ill","vaccine_likely_friends","vaccine_likely_who","vaccine_likely_govt_health","vaccine_likely_politicians","confirmed_7dav_incidence_prop","wearing_mask"
"08035",2021-01-30,0.7143452,NA,NA,11.4182197,NA,83.260672,15.5443794,91.6276738,3.3720522,33.1550184,61.0638769,20.5076574,38.4077141,7.7697799,67.6396564,40.1517433,43.0127075,37.3178301,9.9537437,24.4332244,98.0598568
"08041",2021-01-30,0.6229763,44.5410463,41.5241151,7.91638,NA,76.6116629,13.697086,86.35664,3.0499741,37.5631161,50.7623252,18.6784707,33.5804899,11.4145102,61.7847274,34.5589375,35.1937663,31.3952324,7.0670917,17.0845617,90.824164
"08059",2021-01-30,0.5592432,NA,NA,9.0839492,NA,83.2278848,16.2446259,93.9590202,2.5646136,33.244873,46.4792783,15.2418597,26.6411263,6.5057115,63.9375089,38.1662594,43.2368541,36.7238981,11.2886335,16.6789902,95.0180239
"08069",2021-01-30,0.4317059,55.1512553,54.9644734,9.1948294,NA,84.0490636,14.633825,90.5428927,2.5996234,34.6615735,48.9390523,14.6149086,32.4447971,5.8036054,65.6815409,37.1207061,40.1216501,34.1370497,7.2631008,21.9976568,92.1860164
"08077",2021-01-30,1.702066,NA,NA,12.1395864,NA,70.2287119,12.1653724,62.9216604,2.7695336,35.9864778,53.6861615,21.2232398,35.589259,8.2024996,64.3215424,28.977859,28.1560058,24.6093874,8.4132561,52.1473604,86.5452748
"08101",2021-01-30,0.6170808,NA,NA,9.2936398,NA,77.9890098,20.1530286,88.4629117,2.9772374,22.3392189,48.0356808,12.3832001,32.399637,9.6684685,72.613467,35.5983903,38.9277954,37.2927806,11.6154256,10.8516346,92.6440965
"08123",2021-01-30,0.0783026,NA,NA,12.2907117,NA,73.7559417,11.8895506,77.2440663,3.2056706,39.4908116,47.7975614,17.7959786,34.3741822,12.321538,63.9892767,32.2013678,40.7031676,28.5702317,9.091166,20.1464489,91.8217767
"09001",2021-01-30,0.1706098,38.5863989,40.8211212,22.2883707,13.039798,83.3636037,15.3420616,94.1861442,4.3224746,32.6930083,48.0261351,8.8258492,24.1846521,3.1445613,70.4033081,41.2913307,43.4458011,42.9701095,16.2388633,44.8841607,97.0360949
"09003",2021-01-30,0.861714,36.4538934,35.6515676,18.7842433,10.840949,83.1478514,15.8070335,94.7776835,2.9005294,33.0148856,53.4140555,9.6107032,24.0636364,3.7961134,75.3341274,38.6253585,42.201869,35.6593787,12.612316,51.1520292,96.8872924
"09005",2021-01-30,0.0944918,NA,NA,19.674755,NA,82.5050962,18.7537593,95.4948966,0.9768758,31.3368482,46.7723615,9.8582706,25.1045849,2.802387,66.5922945,43.3816411,42.2374856,31.585965,14.1709301,39.1324059,97.1861357
